69,27,26,25,23,28,25,30,21,26
24,20,23,23,27,20,26,24,26,23
38,30,21,27,26,26,28,30,27,30
63,24,20,26,29,20,25,22,26,24
118,24,25,30,29,30,20,30,29,27
30,23,26,25,29,27,28,27,26,30
110,29,24,21,27,22,24,28,30,21
121,21,22,20,30,20,22,29,28,27
70,23,26,27,24,27,24,26,26,21
89,21,25,27,28,27,25,22,30,25
56,28,25,26,30,24,26,28,21,22
67,28,21,24,30,30,25,20,26,22
101,25,24,26,27,30,25,26,22,22
32,27,20,27,24,30,23,21,28,23
97,27,30,28,26,20,20,29,21,25
33,21,30,27,30,23,22,29,22,30
56,21,20,27,20,29,20,21,22,26
